Date,Time,DateTime,Energy_level,Mood,Weather_Condition,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
15 August 2025 8:00:00 PM,8:00:00 PM,15-08-2025 20:00,8,Tired,Clear Skies,Chilling,Friend's House,1,0,
15 August 2025 9:00:00 PM,9:00:00 PM,15-08-2025 21:00,8,Tired,Clear Skies,Driving,Friend's House,1,0,
15 August 2025 10:00:00 PM,10:00:00 PM,15-08-2025 22:00,8,Energised,Clear Skies,Desk Setup,Office Space,1,1,
15 August 2025 11:00:00 PM,11:00:00 PM,15-08-2025 23:00,8,Excited,Clear Skies,Date Night,Bedroom,1,1,
16 August 2025 9:00:00 AM,9:00:00 AM,16-08-2025 09:00,,,,,,,,
16 August 2025 10:00:00 AM,10:00:00 AM,16-08-2025 10:00,,,,,,,,
16 August 2025 11:00:00 AM,11:00:00 AM,16-08-2025 11:00,7,Tired,Cloudy,Sleep,Bedroom,,,
16 August 2025 12:00:00 PM,12:00:00 PM,16-08-2025 12:00,8,Happy,Cloudy,Chilling,Bedroom,10,0,
16 August 2025 1:00:00 PM,1:00:00 PM,16-08-2025 13:00,8,Energised,Cloudy,Exercise,Bedroom,1,1,
16 August 2025 2:00:00 PM,2:00:00 PM,16-08-2025 14:00,8,Happy,Cloudy,Lunch,Dining Room,1,1,
16 August 2025 3:00:00 PM,3:00:00 PM,16-08-2025 15:00,8,Happy,Cloudy,Movie,Bedroom,1,0,
16 August 2025 4:00:00 PM,4:00:00 PM,16-08-2025 16:00,8,Fulfilled,Cloudy,Movie,Bedroom,1,0,
16 August 2025 5:00:00 PM,5:00:00 PM,16-08-2025 17:00,4,Energised,Cloudy,Nerf,Gaming Room,1,0,
16 August 2025 6:00:00 PM,6:00:00 PM,16-08-2025 18:00,6,Tired,Gloomy,Movie,Bedroom,1,0,
16 August 2025 7:00:00 PM,7:00:00 PM,16-08-2025 19:00,7,Tired,Gloomy,Movie,Bedroom,1,0,
16 August 2025 8:00:00 PM,8:00:00 PM,16-08-2025 20:00,9,Loved,Gloomy,Exercise,Bedroom,1,0,
16 August 2025 9:00:00 PM,9:00:00 PM,16-08-2025 21:00,7,Happy,Cloudy,Movie,Bedroom,1,0,
16 August 2025 10:00:00 PM,10:00:00 PM,16-08-2025 22:00,7,Happy,Cloudy,Documentary,Bedroom,1,1,
16 August 2025 11:00:00 PM,11:00:00 PM,16-08-2025 23:00,7,Energised,Cloudy,Documentary,Bedroom,1,1,
17 August 2025 9:00:00 AM,9:00:00 AM,17-08-2025 09:00,,,,,,,,
17 August 2025 10:00:00 AM,10:00:00 AM,17-08-2025 10:00,,,,,,,,
17 August 2025 11:00:00 AM,11:00:00 AM,17-08-2025 11:00,,,,,,,,
17 August 2025 12:00:00 PM,12:00:00 PM,17-08-2025 12:00,8,Happy,Cloudy,Sleep,Bedroom,1,0,
17 August 2025 1:00:00 PM,1:00:00 PM,17-08-2025 13:00,7,Energised,Sunny,Chilling,Bedroom,1,0,
17 August 2025 2:00:00 PM,2:00:00 PM,17-08-2025 14:00,7,Tired,Sunny,Lunch,Dining Room,1,0,
